column_name,pandas_dtype,final_corrected_type,categorical_family,basic_type,is_object_categorical,is_numeric_categorical,is_ordinal,is_nominal,is_absence_related,unique_count,unique_ratio,missing_count,missing_percentage,sample_values,missing_pandas_dtype,missing_missing_count,missing_missing_percentage,missing_status,missing_is_absence_related,missing_type,imputation_hint,missing_review,cardinality_categorical_family,cardinality_is_ordinal,cardinality_is_nominal,cardinality_is_absence_related,cardinality_unique_count,cardinality_unique_ratio,cardinality_level,ohe_column_estimate,recommended_encoding,alternative_encoding,encoding_risk,encoding_reason,one_hot_safe,rare_grouping_needed,frequency_encoding_candidate,binary_encoding_candidate,target_encoding_candidate_later,dominance_categorical_family,dominance_is_ordinal,dominance_is_nominal,dominance_is_absence_related,dominance_unique_count,top_category,top_count,top_percentage,second_category,second_count,second_percentage,dominance_level,dominance_action,rare_categorical_family,rare_is_ordinal,rare_is_nominal,rare_is_absence_related,rare_unique_count,rare_threshold_percentage,rare_category_count,rare_row_count,rare_row_percentage,rare_categories,rare_level,rare_action,train_test_categorical_family,train_test_is_ordinal,train_test_is_nominal,train_test_is_absence_related,train_unique_count,test_unique_count,common_category_count,train_only_category_count,test_only_category_count,test_only_row_count,test_only_row_percentage,category_match_ratio,train_only_categories,test_only_categories,consistency_status,encoding_safety_action,ordinal_unique_count,unique_values,ordinal_missing_count,ordinal_missing_percentage,ordinal_is_absence_related,mapping_available,mapped_category_count,unmapped_category_count,unmapped_categories,mapping_status,missing_handling,encoding_hint,nominal_pandas_dtype,nominal_is_absence_related,nominal_unique_count,nominal_unique_ratio,nominal_cardinality_level,nominal_missing_count,nominal_missing_percentage,nominal_top_category,nominal_top_percentage,nominal_rare_category_count,nominal_rare_row_percentage,nominal_rare_action,nominal_dominance_level,nominal_dominance_action,nominal_consistency_status,nominal_encoding_safety_action,nominal_encoding_hint,nominal_encoding_risk,final_nominal_action,drop_review_categorical_family,drop_review_is_ordinal,drop_review_is_nominal,drop_review_is_absence_related,drop_review_unique_count,drop_review_unique_ratio,drop_review_missing_percentage,drop_review_missing_type,drop_review_top_percentage,drop_review_dominance_level,drop_review_cardinality_level,drop_review_encoding_risk,drop_review_rare_row_percentage,drop_review_rare_level,drop_review_test_only_category_count,drop_review_consistency_status,is_constant,is_near_constant,is_id_like,is_high_missing,has_unseen_test_category,has_rare_grouping_risk,possible_availability_review,risk_score,review_reason,drop_review_action,final_categorical_family,final_is_ordinal,final_is_nominal,final_is_absence_related,final_cardinality_level,final_missing_percentage,final_missing_type,final_missing_handling,final_rare_level,rare_decision,final_dominance_level,final_top_percentage,final_consistency_status,final_test_only_category_count,ordinal_mapping_status,recommended_encoding_from_cardinality,final_encoding_method,unknown_handling,encoder_safety,final_encoding_risk,final_drop_review_action,final_review_reason,final_categorical_action
Heating,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,6,0.0041,0,0.0,"GasA, GasW, Grav, Wall, OthW",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,6,0.0041,low,6,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,6,GasA,1428,97.81,GasW,18,1.23,near-constant,review/drop candidate,nominal,False,True,False,6,1.0,4,14,0.96,"Grav, Wall, OthW, Floor",low rare impact,rare grouping optional,nominal,False,True,False,6,4,4,2,0,0,0.0,0.6667,"Floor, OthW",,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,6.0,0.0041,low,0.0,0.0,GasA,97.81,4.0,0.96,rare grouping optional,near-constant,review/drop candidate,no unseen test category,safe; train-only categories are not an issue,one-hot encoding,low,encode directly,nominal,False,True,False,6,0.0041,0.0,none,97.81,near-constant,low,low,0.96,low rare impact,0,no unseen test category,False,True,False,False,False,False,False,3,near-constant and not clearly absence-related,review before keeping,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,97.81,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
HeatingQC,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,5,0.0034,0,0.0,"Ex, Gd, TA, Fa, Po",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,5,0.0034,low,5,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,5,Ex,741,50.75,TA,428,29.32,balanced,keep,ordinal,True,False,False,5,1.0,1,1,0.07,Po,low rare impact,rare grouping optional,ordinal,True,False,False,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,5.0,"Ex, Fa, Gd, Po, TA",0.0,0.0,False,True,5.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,5,0.0034,0.0,none,50.75,balanced,low,low,0.07,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,50.75,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
CentralAir,object,object_dtype_columns,nominal,binary,True,False,False,True,False,2,0.0014,0,0.0,"Y, N",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,2,0.0014,binary,2,binary encoding / one-hot,label encoding only if model-safe,low,Binary nominal feature can be encoded as 0/1 or one-hot encoded.,True,False,False,False,False,nominal,False,True,False,2,Y,1365,93.49,N,95,6.51,highly dominated,review usefulness,nominal,False,True,False,2,1.0,0,0,0.0,,no rare category,no rare grouping needed,nominal,False,True,False,2,2,2,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,2.0,0.0014,binary,0.0,0.0,Y,93.49,0.0,0.0,no rare grouping needed,highly dominated,review usefulness,perfect match,safe for encoding,binary 0/1 encoding or one-hot,low,encode directly,nominal,False,True,False,2,0.0014,0.0,none,93.49,highly dominated,binary,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,binary,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,93.49,perfect match,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,keep,no major univariate drop risk,keep + encode
Electrical,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,5,0.0034,1,0.07,"SBrkr, FuseF, FuseA, FuseP, Mix",object,1,0.07,low,False,unknown / low missing,fill with mode or 'Unknown',minor missing; simple imputation is enough,nominal,False,True,False,5,0.0034,low,5,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,5,SBrkr,1334,91.37,FuseA,94,6.44,highly dominated,review usefulness,nominal,False,True,False,5,1.0,3,5,0.34,"FuseP, Mix, nan",low rare impact,rare grouping optional,nominal,False,True,False,5,4,4,1,0,0,0.0,0.8,Mix,,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,5.0,0.0034,low,1.0,0.07,SBrkr,91.37,3.0,0.34,rare grouping optional,highly dominated,review usefulness,no unseen test category,safe; train-only categories are not an issue,one-hot encoding,low,encode directly,nominal,False,True,False,5,0.0034,0.07,unknown / low missing,91.37,highly dominated,low,low,0.34,low rare impact,0,no unseen test category,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.07,unknown / low missing,fill with mode or Unknown,low rare impact,rare grouping optional,highly dominated,91.37,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
KitchenQual,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,4,0.0027,0,0.0,"Gd, TA, Ex, Fa",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,4,TA,735,50.34,Gd,586,40.14,balanced,keep,ordinal,True,False,False,4,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,False,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"Ex, Fa, Gd, TA",0.0,0.0,False,True,4.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,4,0.0027,0.0,none,50.34,balanced,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,balanced,50.34,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Functional,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,7,0.0048,0,0.0,"Typ, Min1, Maj1, Min2, Mod",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,7,0.0048,low,7,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,7,Typ,1360,93.15,Min2,34,2.33,highly dominated,review usefulness,ordinal,True,False,False,7,1.0,3,20,1.37,"Maj1, Maj2, Sev",low rare impact,rare grouping optional,ordinal,True,False,False,7,7,7,0,0,0,0.0,1.0,,,perfect match,safe for encoding,7.0,"Maj1, Maj2, Min1, Min2, Mod, Sev, Typ",0.0,0.0,False,True,7.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,7,0.0048,0.0,none,93.15,highly dominated,low,low,1.37,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,93.15,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
FireplaceQu,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,5,0.0034,690,47.26,"TA, Gd, Fa, Ex, Po",object,690,47.26,high,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,5,0.0034,low,5,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,5,,690,47.26,Gd,380,26.03,balanced,keep,ordinal,True,False,True,5,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,True,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,5.0,"Ex, Fa, Gd, None, Po, TA",690.0,47.26,True,True,6.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,5,0.0034,47.26,absence-related,47.26,balanced,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,47.26,absence-related,fill with None,no rare category,no rare grouping needed,balanced,47.26,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
GarageType,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,True,6,0.0041,81,5.55,"Attchd, Detchd, BuiltIn, CarPort, Basment",object,81,5.55,moderate,True,absence-related,fill with 'None',missing likely means feature absence,nominal,False,True,True,6,0.0041,low,6,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,True,6,Attchd,870,59.59,Detchd,387,26.51,balanced,keep,nominal,False,True,True,6,1.0,2,15,1.03,"CarPort, 2Types",low rare impact,rare grouping optional,nominal,False,True,True,6,6,6,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,True,6.0,0.0041,low,81.0,5.55,Attchd,59.59,2.0,1.03,rare grouping optional,balanced,keep,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,True,6,0.0041,5.55,absence-related,59.59,balanced,low,low,1.03,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,True,low,5.55,absence-related,fill with None,low rare impact,rare grouping optional,balanced,59.59,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
GarageFinish,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,3,0.0021,81,5.55,"RFn, Unf, Fin",object,81,5.55,moderate,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,3,0.0021,low,3,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,3,Unf,605,41.44,RFn,422,28.9,balanced,keep,ordinal,True,False,True,3,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,True,3,3,3,0,0,0,0.0,1.0,,,perfect match,safe for encoding,3.0,"Fin, None, RFn, Unf",81.0,5.55,True,True,4.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,3,0.0021,5.55,absence-related,41.44,balanced,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,5.55,absence-related,fill with None,no rare category,no rare grouping needed,balanced,41.44,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
GarageQual,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,5,0.0034,81,5.55,"TA, Fa, Gd, Ex, Po",object,81,5.55,moderate,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,5,0.0034,low,5,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,5,TA,1311,89.79,,81,5.55,highly dominated,review usefulness,ordinal,True,False,True,5,1.0,3,20,1.37,"Gd, Ex, Po",low rare impact,rare grouping optional,ordinal,True,False,True,5,4,4,1,0,0,0.0,0.8,Ex,,no unseen test category,safe; train-only categories are not an issue,5.0,"Ex, Fa, Gd, None, Po, TA",81.0,5.55,True,True,6.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,5,0.0034,5.55,absence-related,89.79,highly dominated,low,low,1.37,low rare impact,0,no unseen test category,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,5.55,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,89.79,no unseen test category,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
GarageCond,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,5,0.0034,81,5.55,"TA, Fa, Gd, Po, Ex",object,81,5.55,moderate,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,5,0.0034,low,5,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,5,TA,1326,90.82,,81,5.55,highly dominated,review usefulness,ordinal,True,False,True,5,1.0,3,18,1.23,"Gd, Po, Ex",low rare impact,rare grouping optional,ordinal,True,False,True,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,5.0,"Ex, Fa, Gd, None, Po, TA",81.0,5.55,True,True,6.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,5,0.0034,5.55,absence-related,90.82,highly dominated,low,low,1.23,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,5.55,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,90.82,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
PavedDrive,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,3,0.0021,0,0.0,"Y, N, P",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,3,0.0021,low,3,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,3,Y,1340,91.78,N,90,6.16,highly dominated,review usefulness,ordinal,True,False,False,3,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,False,3,3,3,0,0,0,0.0,1.0,,,perfect match,safe for encoding,3.0,"N, P, Y",0.0,0.0,False,True,3.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,3,0.0021,0.0,none,91.78,highly dominated,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,91.78,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
PoolQC,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,3,0.0021,1453,99.52,"Ex, Fa, Gd",object,1453,99.52,very high,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,3,0.0021,low,3,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,3,,1453,99.52,Gd,3,0.21,near-constant,review/drop candidate,ordinal,True,False,True,3,1.0,3,7,0.48,"Gd, Ex, Fa",low rare impact,rare grouping optional,ordinal,True,False,True,3,2,2,1,0,0,0.0,0.6667,Fa,,no unseen test category,safe; train-only categories are not an issue,3.0,"Ex, Fa, Gd, None",1453.0,99.52,True,True,4.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,3,0.0021,99.52,absence-related,99.52,near-constant,low,low,0.48,low rare impact,0,no unseen test category,False,True,False,True,False,False,False,5,near-constant but absence may be meaningful,keep but review,ordinal,True,False,True,low,99.52,absence-related,fill with None,low rare impact,rare grouping optional,near-constant,99.52,no unseen test category,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep but review,near-constant but absence may be meaningful,keep but review
Fence,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,4,0.0027,1179,80.75,"MnPrv, GdWo, GdPrv, MnWw",object,1179,80.75,very high,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,4,,1179,80.75,MnPrv,157,10.75,highly dominated,review usefulness,ordinal,True,False,True,4,1.0,1,11,0.75,MnWw,low rare impact,rare grouping optional,ordinal,True,False,True,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"GdPrv, GdWo, MnPrv, MnWw, None",1179.0,80.75,True,True,5.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,4,0.0027,80.75,absence-related,80.75,highly dominated,low,low,0.75,low rare impact,0,perfect match,False,False,False,True,False,False,False,2,no major univariate drop risk,keep,ordinal,True,False,True,low,80.75,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,80.75,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
MiscFeature,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,True,4,0.0027,1406,96.3,"Shed, Gar2, Othr, TenC",object,1406,96.3,very high,True,absence-related,fill with 'None',missing likely means feature absence,nominal,False,True,True,4,0.0027,low,4,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,True,4,,1406,96.3,Shed,49,3.36,near-constant,review/drop candidate,nominal,False,True,True,4,1.0,3,5,0.34,"Gar2, Othr, TenC",low rare impact,rare grouping optional,nominal,False,True,True,4,3,3,1,0,0,0.0,0.75,TenC,,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,True,4.0,0.0027,low,1406.0,96.3,,96.3,3.0,0.34,rare grouping optional,near-constant,review/drop candidate,no unseen test category,safe; train-only categories are not an issue,one-hot encoding,low,encode directly,nominal,False,True,True,4,0.0027,96.3,absence-related,96.3,near-constant,low,low,0.34,low rare impact,0,no unseen test category,False,True,False,True,False,False,False,5,near-constant but absence may be meaningful,keep but review,nominal,False,True,True,low,96.3,absence-related,fill with None,low rare impact,rare grouping optional,near-constant,96.3,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep but review,near-constant but absence may be meaningful,keep but review
SaleType,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,9,0.0062,0,0.0,"WD, New, COD, ConLD, ConLI",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,9,0.0062,low,9,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,9,WD,1267,86.78,New,122,8.36,highly dominated,review usefulness,nominal,False,True,False,9,1.0,6,28,1.92,"ConLD, ConLI, ConLw, CWD, Oth, Con",low rare impact,rare grouping optional,nominal,False,True,False,9,9,9,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,9.0,0.0062,low,0.0,0.0,WD,86.78,6.0,1.92,rare grouping optional,highly dominated,review usefulness,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,9,0.0062,0.0,none,86.78,highly dominated,low,low,1.92,low rare impact,0,perfect match,False,False,False,False,False,False,True,2,sale transaction feature; check whether available at prediction time,availability review,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,86.78,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,availability review,sale transaction feature; check whether available at prediction time,keep but review
SaleCondition,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,6,0.0041,0,0.0,"Normal, Abnorml, Partial, AdjLand, Alloca",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,6,0.0041,low,6,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,6,Normal,1198,82.05,Partial,125,8.56,highly dominated,review usefulness,nominal,False,True,False,6,1.0,2,16,1.1,"Alloca, AdjLand",low rare impact,rare grouping optional,nominal,False,True,False,6,6,6,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,6.0,0.0041,low,0.0,0.0,Normal,82.05,2.0,1.1,rare grouping optional,highly dominated,review usefulness,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,6,0.0041,0.0,none,82.05,highly dominated,low,low,1.1,low rare impact,0,perfect match,False,False,False,False,False,False,True,2,sale transaction feature; check whether available at prediction time,availability review,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,82.05,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,availability review,sale transaction feature; check whether available at prediction time,keep but review
